BOYACÁ,SOTAQUIRÁ,2,2,2,2
BOYACÁ,SUSACÓN,1,1,1,1
BOYACÁ,SUTAMARCHÁN,2,2,2,2
BOYACÁ,SUTATENZA,2,2,2,2
BOYACÁ,SÁCHICA,1,1,1,1
BOYACÁ,TASCO,3,3,3,3
BOYACÁ,TENZA,2,2,2,2
BOYACÁ,TIBANÁ,1,1,1,1
BOYACÁ,TIBASOSA,3,3,3,3
BOYACÁ,TINJACÁ,2,2,2,2
BOYACÁ,TIPACOQUE,2,2,2,2
BOYACÁ,TOCA,2,2,2,2
BOYACÁ,TOGÜÍ,1,1,1,1
BOYACÁ,TOTA,1,1,1,1
BOYACÁ,TUNJA,2,2,2,2
BOYACÁ,TUNUNGUÁ,1,1,1,1
BOYACÁ,TURMEQUÉ,2,2,2,2
BOYACÁ,TUTA,2,2,2,2
BOYACÁ,TUTAZÁ,1,1,1,1
BOYACÁ,TÓPAGA,2,2,2,2
BOYACÁ,UMBITA,2,2,2,2
BOYACÁ,VENTAQUEMADA,6,6,6,6
BOYACÁ,VILLA DE LEYVA,3,3,3,3
BOYACÁ,VIRACACHÁ,1,1,1,1
BOYACÁ,ZETAQUIRA,1,1,1,1
CALDAS,AGUADAS,6,6,6,6
CALDAS,ANSERMA,2,2,2,2
CALDAS,ARANZAZU,3,3,3,3
CALDAS,BELALCÁZAR,4,4,4,4
CALDAS,CHINCHINÁ,4,4,4,4
CALDAS,FILADELFIA,5,5,5,5
CALDAS,LA DORADA,4,4,4,4
CALDAS,LA MERCED,4,4,4,4
CALDAS,MANIZALES,13,13,13,13
CALDAS,MANZANARES,3,3,3,3
CALDAS,MARMATO,4,4,4,4
CALDAS,MARQUETALIA,2,2,2,2
CALDAS,MARULANDA,1,1,1,1
CALDAS,NEIRA,3,3,3,3
CALDAS,NORCASIA,3,3,3,3
CALDAS,PALESTINA,3,3,3,3
CALDAS,PENSILVANIA,4,4,4,4
CALDAS,PÁCORA,5,5,5,5
CALDAS,RIOSUCIO,4,4,4,4
CALDAS,RISARALDA,2,2,2,2
